"ID","Description","Category","GeneRatio","num","denom","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster"
"GO:0042180","cellular ketone metabolic process","metabolism",0.0407523510971787,39,957,"244/22777",6.46367900986523E-13,2.81708676846626E-10,2.10409761452718E-10,"Coq8a/Akr1c6/Cyp7a1/Abcb11/Avpr1a/Gpd1/Akr1c14/Fmo1/Dkk3/Akr1c20/Cyp2b9/Ces1e/Hsd17b6/Fmo2/Ces1d/Akr1c18/Fmo4/Rgn/Trib3/Coq8b/Slc37a2/Eif6/Srd5a1/Prox1/Ces1g/Ido2/Afmid/Prkag2/Il1b/Sirt5/Abcd2/Cyp2b13/Pdk2/Ppargc1a/Irs1/Wnt4/Abcd1/Pnkd/Ces1f",39,"Liver"
"GO:0044282","small molecule catabolic process","metabolism",0.0501567398119122,48,957,"356/22777",9.86554399327576E-13,3.96898423729479E-10,2.96445617482157E-10,"Glyctk/Cyp7a1/Abcb11/Amt/Ddah1/Hao1/Shmt1/Sord/Sult2a1/Akr1d1/Galm/Hal/Hgd/Hsd17b6/Hao2/Faah/Upp1/Adh1/Miox/Ces1d/Dhdh/Cyp4f14/Akr1c18/Sult2a3/Pipox/Fgf23/Sardh/Tat/Cda/Ido2/Nudt1/Afmid/Aldh1a7/Uroc1/Cyp39a1/Arg2/Lpin1/Sult2a8/Acot4/Abcd2/Xylb/Hadh/Irs1/Pah/Abcd1/Pnkd/Ces1f/Acot2",48,"Liver"
"GO:0062012","regulation of small molecule metabolic process","metabolism",0.0512016718913271,49,957,"377/22777",2.26629471776828E-12,8.46622955280581E-10,6.32347345687075E-10,"Sec14l2/Fmo5/Cyp7a1/Ttc39b/Abcb11/Avpr1a/Gpd1/Fgf1/Fmo1/Dkk3/Pfkfb1/Ddit4/Ier3/Ces1e/Ppp1r3g/Fmo2/Ptpn2/Ces1d/Fmo4/Rgn/Hif1a/Trib3/Eif6/Prox1/Ces1g/Cda/Adra1b/Abcg1/Aqp8/Prkag2/Il1b/Sirt5/Lepr/Slc4a4/Kit/Gpt/Abcd2/Pth1r/Pdk2/Ppargc1a/Irs1/Wnt4/Igf2/Abcd1/Il6/Ces1f/P2rx7/Myc/Isyna1",49,"Liver"
"GO:0015711","organic anion transport","metabolism",0.0553814002089864,53,957,"437/22777",4.3777580550192E-12,1.52637830851669E-09,1.14006036085447E-09,"Rgs2/Slc17a3/Abcb11/Slc16a12/Avpr1a/Abcg3/Slc10a5/Rgs4/Slc46a1/Slc25a23/Slc26a1/Slc2a1/Abcc6/Acsl1/Ces1e/Slc22a27/Gja1/Aqp9/Slc36a1/Ces1d/Slc10a1/Slco1b2/Il1a/Slc38a2/Slc37a2/Slc10a6/Ces1g/Aqp8/Slc2a9/Slc26a6/Abcc3/Car4/Adora2a/Il1b/Slc2a2/Slc23a1/Slc4a4/Arg2/Slc16a5/Abcd2/Slc1a4/Fabp4/Slc22a29/Slc25a42/Abcd1/Abcb4/Slc22a3/Slc17a8/Ces1f/P2rx7/Myc/Slc7a4/Slc6a20b",53,"Liver"
"GO:0032102","negative regulation of response to external stimulus","immune response",0.0512016718913271,49,957,"427/22777",2.01683671175256E-10,5.86003111248106E-08,4.37688949550512E-08,"Cd200/Dbn1/Serpine1/Ctla2a/Sema4g/Mmp12/Cldn3/Ier3/Gja1/Angpt2/Sema3a/Ptpn2/Plat/Cd34/Fgl2/Isg15/Tap1/Nlrp12/Sema4c/Ifi213/Plau/Nlrp6/Il20rb/Npy/Serpinb9/Klkb1/Adora2a/Rab7b/Aif1/Oas1a/Irak3/Arg2/Slamf8/Tspan8/Mmrn1/Adrb2/Ffar4/Stap1/Tnfaip6/Wnt4/Igf2/Ifi205/Dusp10/Sema3d/Ifi204/Rtn4rl1/Dusp1/Nlrp3/Robo2",49,"Liver"
"GO:0046394","carboxylic acid biosynthetic process","metabolism",0.0417972831765935,40,957,"309/22777",2.72236134096994E-10,7.49365779645937E-08,5.59705425835981E-08,"Cyp7a1/Fads6/Avpr1a/Hao1/Shmt1/Gstm4/Akr1d1/Gstm7/Bhmt2/Gulo/Ces1e/Mgst3/Ptgs1/Ces1d/Adi1/Rgn/Gatm/Trib3/Sphk1/Hacd4/Eif6/Fads3/Prox1/Fads1/Ces1g/Prkag2/Il1b/Cyp39a1/Bhmt/Acsm5/Acsm1/Abcd2/Cyp2c23/Plod2/Pah/Abcd1/Asah2/Ces1f/Lpl/Mgll",40,"Liver"
"GO:0072330","monocarboxylic acid biosynthetic process","metabolism",0.0313479623824451,30,957,"216/22777",9.03891474664002E-09,1.57578413749758E-06,1.17696184648355E-06,"Cyp7a1/Fads6/Avpr1a/Gstm4/Akr1d1/Gstm7/Ces1e/Ptgs1/Ces1d/Rgn/Gatm/Trib3/Sphk1/Hacd4/Eif6/Fads3/Prox1/Fads1/Ces1g/Prkag2/Il1b/Cyp39a1/Acsm5/Acsm1/Abcd2/Abcd1/Asah2/Ces1f/Lpl/Mgll",30,"Liver"
"GO:0035458","cellular response to interferon-beta","immune response",0.0156739811912226,15,957,"58/22777",1.10129858306105E-08,1.7453913907301E-06,1.30364243755648E-06,"Iigp1/Irgm1/Ifi213/Oas1a/Gbp3/Ifi47/Igtp/Irf1/Tgtp1/Gbp6/Ifi205/Irgm2/Ifi204/Tgtp2/Gbp2",15,"Liver"
"GO:0035456","response to interferon-beta","immune response",0.0167189132706374,16,957,"70/22777",2.44716118375963E-08,3.54154868689315E-06,2.64520220933088E-06,"Iigp1/Irgm1/Ifi213/Oas1a/Xaf1/Gbp3/Ifi47/Igtp/Irf1/Tgtp1/Gbp6/Ifi205/Irgm2/Ifi204/Tgtp2/Gbp2",16,"Liver"
"GO:0071346","cellular response to type II interferon","immune response",0.0208986415882968,20,957,"117/22777",8.60234797933954E-08,9.37297498582204E-06,7.00072661213356E-06,"Ptpn2/Irgm1/Irf8/Aqp4/Gbp4/Slc26a6/Gbp5/Rab7b/Gbp3/Igtp/Irf1/Stxbp4/Gbp6/Ccl20/Irgm2/Tlr2/Gbp9/Ccl2/Gbp2/Ccl11",20,"Liver"
