"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ABSLFC","FC"
"ENSMUSG00000029005",17.7846719981766,-1.23932531564725,0.255040756213454,-4.85932261983261,1.1778805896996e-06,0.000568488004610473,1.23932531564725,-2.36088098554244
"ENSMUSG00000028965",14.4516400356179,1.3001276118348,0.268728927042766,4.83806349447409,1.31110261488754e-06,0.000605273372385908,1.3001276118348,2.46250663508546
"ENSMUSG00000029471",98.8226261985722,-0.600349185329325,0.125385899802278,-4.78801193974777,1.6844162935869e-06,0.000745213841887739,0.600349185329325,-1.51608347013836
"ENSMUSG00000029416",42.2751299293145,-0.655937281406933,0.137518167183222,-4.76982274300528,1.8438809934572e-06,0.000783133135541142,0.655937281406933,-1.5756392725034
"ENSMUSG00000002083",36.3429967208875,1.33761620241411,0.282135682700472,4.74103874281718,2.12625264742704e-06,0.000785690505893253,1.33761620241411,2.52733376537749
"ENSMUSG00000020681",132.830764921524,-2.02033206275584,0.426304468348045,-4.73917636984841,2.14588667083296e-06,0.000785690505893253,2.02033206275584,-4.05677155217675
"ENSMUSG00000031824",114.845231701225,-1.03104512222812,0.217153285771079,-4.74800608504278,2.05431857197186e-06,0.000785690505893253,1.03104512222812,-2.04350407776808
"ENSMUSG00000020377",14.9209470574837,-2.58654111761843,0.551603621595795,-4.68913004982734,2.7436898260044e-06,0.000971083285750491,2.58654111761843,-6.0065688763315
"ENSMUSG00000025026",186.703222289281,-0.736703472615541,0.160356313443291,-4.59416568513264,4.34484072797744e-06,0.00144167246405201,0.736703472615541,-1.66636387948434
"ENSMUSG00000052698",19.8620914278389,-1.60824037764261,0.349959798684753,-4.5955003508598,4.31712066807389e-06,0.00144167246405201,1.60824037764261,-3.04879760013231
"ENSMUSG00000031367",26.5614843825402,-1.05204780585237,0.230060721038307,-4.57291362516939,4.80988455579809e-06,0.0015476167943474,1.05204780585237,-2.07347090845281
"ENSMUSG00000006345",9.19141951611975,-1.38943021160799,0.306274086646712,-4.53655817513124,5.717972186352e-06,0.0016409034776942,1.38943021160799,-2.61975193963212
"ENSMUSG00000020532",34.5971630645023,-0.954014012169209,0.21010935794152,-4.54055936163843,5.61051791486027e-06,0.0016409034776942,0.954014012169209,-1.93725519394439
"ENSMUSG00000026180",54.9163356327392,-1.10139825498227,0.242336808600335,-4.54490698851577,5.49595175502382e-06,0.0016409034776942,1.10139825498227,-2.14562545033409
"ENSMUSG00000092274",495.809782650243,-0.717670124292633,0.157908248706893,-4.54485519388391,5.49730334055907e-06,0.0016409034776942,0.717670124292633,-1.64452407002961
"ENSMUSG00000024659",206.821384398666,-0.663566160879876,0.147156570310808,-4.5092526924103,6.50563830079348e-06,0.00181781230204803,0.663566160879876,-1.58399322071094
"ENSMUSG00000018924",313.25691210192,-1.90292132647637,0.423667109455799,-4.49154839732702,7.07072285898156e-06,0.00192504962350426,1.90292132647637,-3.73969685105835
"ENSMUSG00000002307",87.0753962015638,0.765172283238491,0.170638240412363,4.48417823220272,7.319546424088e-06,0.00194297359827416,0.765172283238491,1.69957294515119
"ENSMUSG00000003882",44.9190783669395,0.952454703829407,0.214479090057188,4.44078116694474,8.96329081754261e-06,0.00232127370489433,0.952454703829407,1.93516248120293
"ENSMUSG00000054263",38.5889533144538,-0.995011886222277,0.224954187249914,-4.4231756625044,9.72605980997836e-06,0.00245884054910358,0.995011886222277,-1.99309694651743
"ENSMUSG00000001288",34.2343432524636,-0.808286637504243,0.183595212784502,-4.4025474588653,1.06987176663823e-05,0.00259306676252094,0.808286637504243,-1.75113054290813
"ENSMUSG00000020604",16.4515591103884,-1.19672817348933,0.273338107224496,-4.3781973382381,1.19664975855647e-05,0.00259306676252094,1.19672817348933,-2.29219244554088
"ENSMUSG00000043421",30.9660947032574,1.28175300189745,0.292664956162825,4.37959166243444,1.18901900263346e-05,0.00259306676252094,1.28175300189745,2.43134227025296
"ENSMUSG00000045193",60.4763392291755,0.702062248904275,0.160208231926067,4.38218586188669,1.17494507455653e-05,0.00259306676252094,0.702062248904275,1.62682858858453
